,"URL describes","URL type","Modification date",URL
"TopHat-Fusion/URL 0",TopHat-Fusion,"Source code","22 May 2011 15:11:30",http://tophat-fusion.sourceforge.net/
"TopHat/URL 0",TopHat,Homepage,"17 February 2010 08:48:43",http://tophat.cbcb.umd.edu/
"TopHat/URL 1",TopHat,HOWTO,"17 February 2010 14:05:03",http://tophat.cbcb.umd.edu/tutorial.html
"Tracembler/URL 0",Tracembler,Homepage,"21 September 2009 10:13:31",http://www.plantgdb.org/tool/tracembler/
"Trans-ABySS/URL 0",Trans-ABySS,Homepage,"7 October 2010 12:54:38",http://www.bcgsc.ca/platform/bioinfo/software/trans-abyss
Trash,,Description,"15 March 2010 21:55:26",http://www.mdc-berlin.eu/en/research/research_teams/systems_biology_of_gene_regulatory_elements/projects/miRDeep/index.html
"Trimmomatic/URL 0",Trimmomatic,Homepage,"7 September 2011 08:03:40",http://www.usadellab.org/cms/index.php?page=trimmomatic
"Trinity/URL 0",Trinity,Homepage,"12 September 2011 00:13:16",http://trinityrnaseq.sourceforge.net/
"Tripal/URL 0",Tripal,Homepage,"6 February 2013 21:59:57",http://gmod.org/wiki/Tripal
"Tripal/URL 1",Tripal,Homepage,"6 February 2013 22:00:41",http://tripal.sourceforge.net/
"UGENE/URL 0",UGENE,Homepage,"24 December 2009 07:44:54",http://ugene.unipro.ru
"USeq/URL 0",USeq,Homepage,"30 December 2009 16:48:06",http://useq.sourceforge.net/
"UnoSeq/URL 0",UnoSeq,Homepage,"2 March 2010 16:23:41",http://sourceforge.net/projects/unoseq/
"V-Xtractor/URL 0",V-Xtractor,Homepage,"9 August 2010 22:49:11",http://www.cmde.science.ubc.ca/mohn/software.html
"VAAL/URL 0",VAAL,Manual,"21 September 2009 14:32:33",http://www.broadinstitute.org/science/programs/genome-biology/computational-rd/vaal-manual
"VAAL/URL 1",VAAL,"Source code","14 December 2009 22:29:48",ftp://ftp.broadinstitute.org/pub/crd/VAAL/
"VAAST/URL 0",VAAST,Homepage,"27 September 2011 08:47:43",http://www.yandell-lab.org/software/vaast.html
"VARiD/URL 0",VARiD,Homepage,"28 September 2010 16:10:59",http://compbio.cs.utoronto.ca/varid/
"VCAKE/URL 0",VCAKE,Homepage,"21 September 2009 09:20:53",http://vcake.sourceforge.net/
"VCF/URL 0",VCF,Description,"27 November 2010 07:23:02",http://www.1000genomes.org/wiki/Analysis/Variant%20Call%20Format/vcf-variant-call-format-version-40
"VCF/URL 1",VCF,"Source code","23 July 2010 08:31:46",http://vcftools.sourceforge.net/
"VCFtools/URL 0",VCFtools,"Source code","4 November 2010 17:45:09",http://vcftools.sourceforge.net/
"VIP/URL 0",VIP,Homepage,"10 August 2010 12:43:10",http://athos.ugent.be/VIP_pipeline
"VarScan/URL 0",VarScan,Homepage,"9 June 2010 09:49:50",http://varscan.sourceforge.net/
"Variant Effect Predictor/URL 0","Variant Effect Predictor","Analysis server","9 February 2011 16:06:30",http://www.ensembl.org
"Variant Effect Predictor/URL 1","Variant Effect Predictor","Source code","9 February 2011 16:08:25",http://uswest.ensembl.org/info/docs/api/variation/variation_tutorial.html
"VariantClassifier/URL 0",VariantClassifier,Homepage,"31 August 2010 14:14:34",http://www.jcvi.org/cms/research/projects/variantclassifier
"Variation toolkit/URL 0","Variation toolkit",Description,"21 October 2011 15:09:36",http://www.slideshare.net/lindenb/variation-toolkit
"Variation toolkit/URL 1","Variation toolkit",Homepage,"21 October 2011 15:14:49",http://code.google.com/p/variationtoolkit/
"Variation toolkit/URL 2","Variation toolkit",Manual,"21 October 2011 15:27:20",http://code.google.com/p/variationtoolkit/source/browse/trunk/doc/varkit.tex
"VariationHunter/URL 0",VariationHunter,"Source code","2 September 2009 19:39:00",http://compbio.cs.sfu.ca/strvar.htm
"VariationHunter/URL 1",VariationHunter,Related,"2 November 2010 20:59:21",http://seqanswers.com/wiki/mrsFAST
"VariationHunter/URL 2",VariationHunter,Related,"2 November 2010 20:59:42",http://seqanswers.com/wiki/mrFAST
"VariationHunter/URL 3",VariationHunter,Related,"2 November 2010 20:59:58",http://seqanswers.com/wiki/NovelSeq
"Vcflib/URL 0",Vcflib,"Source code","1 October 2013 10:03:48",https://github.com/ekg/vcflib
"Vectorfriends/URL 0",Vectorfriends,Homepage,"26 September 2013 09:55:35",http://www.vectorfriends.com
"Velvet/URL 0",Velvet,Homepage,"21 September 2009 09:22:20",http://www.ebi.ac.uk/%7Ezerbino/velvet/
"Velvet/URL 1",Velvet,HOWTO,"18 January 2010 12:54:13",http://wiki.bioinformatics.ucdavis.edu/index.php/Illumina_assembly_using_velvet
"VelvetOptimiser/URL 0",VelvetOptimiser,Homepage,"31 August 2011 13:35:02",http://bioinformatics.net.au/software.velvetoptimiser.shtml
"Vicuna/URL 0",Vicuna,Homepage,"8 September 2012 18:51:01",http://www.broadinstitute.org/scientific-community/science/projects/viral-genomics/vicuna
"Vicuna/URL 1",Vicuna,"Publication full text","23 September 2012 12:24:52",http://www.biomedcentral.com/1471-2164/13/475/abstract
"ViralFusionSeq/URL 0",ViralFusionSeq,Homepage,"4 December 2012 06:03:15",http://sourceforge.net/projects/viralfusionseq/
"ViralFusionSeq/URL 1",ViralFusionSeq,HOWTO,"4 December 2012 04:10:08",http://sourceforge.net/p/viralfusionseq/wiki/CrashCourse/
"ViralFusionSeq/URL 2",ViralFusionSeq,Manual,"4 December 2012 04:13:13",http://sourceforge.net/projects/viralfusionseq/files/
"ViralFusionSeq/URL 3",ViralFusionSeq,"Source code","4 December 2012 06:03:09",http://sourceforge.net/projects/viralfusionseq/files/release/
"ViralFusionSeq/URL 4",ViralFusionSeq,"Publication full text","12 January 2013 15:51:30",http://bioinformatics.oxfordjournals.org/content/early/2013/01/11/bioinformatics.btt011.abstract
"ViralFusionSeq/URL 5",ViralFusionSeq,"Publication full text","12 January 2013 16:01:15",http://bioinformatics.oxfordjournals.org/content/early/2013/01/11/bioinformatics.btt011.abstract
"VirusHunter/URL 0",VirusHunter,Homepage,"11 February 2013 17:59:12",http://bioinfo.mc.vanderbilt.edu/VirusHunter/
"VisSR/URL 0",VisSR,Homepage,"14 February 2012 12:55:43",http://srna-workbench.cmp.uea.ac.uk
"VisSR/URL 1",VisSR,Manual,"14 February 2012 12:56:07",http://srna-workbench.cmp.uea.ac.uk/tools/vissr/
"Vmatch/URL 0",Vmatch,Homepage,"21 September 2009 08:33:29",http://www.vmatch.de/
"WHAM/URL 0",WHAM,Homepage,"20 September 2011 08:32:04",http://www.cs.wisc.edu/wham/
"WIG/URL 0",WIG,,"15 May 2014 02:05:47",http://genome.ucsc.edu/goldenPath/help/wiggle.html
"WebApollo/URL 0",WebApollo,Homepage,"28 May 2013 20:47:46",http://gmod.org/wiki/WebApollo
"WebApollo/URL 1",WebApollo,"Source code","28 May 2013 20:50:39",https://code.google.com/p/apollo-web/
"WebPrInSeS/URL 0",WebPrInSeS,Homepage,"25 May 2010 16:40:39",http://webprinses.epfl.ch/
"XMatchView/URL 0",XMatchView,Homepage,"21 September 2009 11:35:38",http://www.bcgsc.ca/platform/bioinfo/software/xmatchview
"YASS/URL 0",YASS,Homepage,"9 June 2010 13:47:33",http://bioinfo.lifl.fr/yass/
"ZINBA/URL 0",ZINBA,"Source code","14 September 2011 15:38:14",http://code.google.com/p/zinba/
"ZOOM/URL 0",ZOOM,Homepage,"21 September 2009 10:16:29",http://www.bioinfor.com/zoom
"ZORRO/URL 0",ZORRO,Homepage,"13 April 2011 13:09:49",http://lge.ibi.unicamp.br/zorro/
"ZTR/URL 0",ZTR,Description,"25 February 2010 14:59:05",http://www.ncbi.nlm.nih.gov/Traces/trace.cgi?cmd=show&f=formats&m=doc&s=formats#ztr
"ZTR/URL 1",ZTR,Manual,"25 February 2010 15:02:08",http://staden.sourceforge.net/manual/formats_unix_12.html
"ZTR/URL 2",ZTR,"Source code","5 May 2010 08:26:32",https://sourceforge.net/projects/staden/files/
"Zorro/URL 0",ZORRO,,"15 April 2011 13:03:50",http://www.lge.ibi.unicamp.br/zorro
